;Varianza A;Varianza B;Scarto;Media A;Media B;;MEDIE;Varianza A;Varianza B;Scarto;Media A;Media B
Istanza CL_10_201_01,TXT: ;0,927688;1,09784;8,8806;33,2388;33,3333;;;0,90898555;0,94253685;8,8707435;33,313405;33,3333
Istanza CL_10_201_02,TXT: ;0,780062;1,15048;9,26368;33,3134;33,3333;;;;;;;
Istanza CL_10_201_03,TXT: ;1,09408;0,898939;9,42289;33,2637;33,3333;;;;;;;
Istanza CL_10_201_04,TXT: ;1,16084;0,799038;8,97512;33,1741;33,3333;;;;;;;
Istanza CL_10_201_05,TXT: ;0,903825;1,07735;8,64179;33,3085;33,3333;;;;;;;
Istanza CL_10_201_06,TXT: ;0,798634;1,14849;9,1393;33,2388;33,3333;;;;;;;
Istanza CL_10_201_07,TXT: ;1,10776;0,939635;9,55224;33,2338;33,3333;;;;;;;
Istanza CL_10_201_08,TXT: ;1,16329;0,818043;9,05473;33,2537;33,3333;;;;;;;
Istanza CL_10_201_09,TXT: ;0,945079;1,08411;8,68159;33,2985;33,3333;;;;;;;
Istanza CL_10_201_10,TXT: ;0,842577;1,18371;9,25373;33,2139;33,3333;;;;;;;
Istanza CL_10_24_01,TXT: ;1,13639;1,09472;10,4167;33,3333;33,3333;;;;;;;
Istanza CL_10_24_02,TXT: ;0,788056;0,910556;6,83333;33,3333;33,3333;;;;;;;
Istanza CL_10_24_03,TXT: ;1,09472;1,08139;9;33,3333;33,3333;;;;;;;
Istanza CL_10_24_04,TXT: ;0,910556;0,791389;8,41667;33,3333;33,3333;;;;;;;
Istanza CL_10_24_05,TXT: ;1,08139;0,844722;8,33333;33,3333;33,3333;;;;;;;
Istanza CL_10_24_06,TXT: ;0,791389;0,873056;6,66667;33,3333;33,3333;;;;;;;
Istanza CL_10_24_07,TXT: ;0,844722;1,09222;8,83333;33,3333;33,3333;;;;;;;
Istanza CL_10_24_08,TXT: ;0,873056;0,780556;9,5;33,3333;33,3333;;;;;;;
Istanza CL_10_24_09,TXT: ;1,09222;0,861389;8,75;33,3333;33,3333;;;;;;;
Istanza CL_10_24_10,TXT: ;0,780556;0,922222;7,08333;33,3333;33,3333;;;;;;;
Istanza CL_10_51_01,TXT: ;0,756732;1,10693;10,3922;33,3333;33,3333;;;;;;;
Istanza CL_10_51_02,TXT: ;0,705359;0,839869;7,88235;33,3333;33,3333;;;;;;;
Istanza CL_10_51_03,TXT: ;1,10693;0,746536;10,0784;33,3333;33,3333;;;;;;;
Istanza CL_10_51_04,TXT: ;0,839869;0,683399;9,80392;33,3333;33,3333;;;;;;;
Istanza CL_10_51_05,TXT: ;0,746536;0,969281;9,64706;33,3333;33,3333;;;;;;;
Istanza CL_10_51_06,TXT: ;0,683399;0,89281;7,68627;33,3333;33,3333;;;;;;;
Istanza CL_10_51_07,TXT: ;0,969281;0,832026;9,80392;33,3333;33,3333;;;;;;;
Istanza CL_10_51_08,TXT: ;0,89281;0,705359;9,92157;33,3333;33,3333;;;;;;;
Istanza CL_10_51_09,TXT: ;0,832026;1,00418;9,45098;33,3333;33,3333;;;;;;;
Istanza CL_10_51_10,TXT: ;0,705359;0,884575;7,68627;33,3333;33,3333;;;;;;;
Istanza CL_10_99_01,TXT: ;0,879192;1,05636;9,13131;33,3333;33,3333;;;;;;;
Istanza CL_10_99_02,TXT: ;0,714545;1,09636;7,89899;33,3333;33,3333;;;;;;;
Istanza CL_10_99_03,TXT: ;1,05636;0,871313;8,9495;33,3333;33,3333;;;;;;;
Istanza CL_10_99_04,TXT: ;1,09636;0,711515;9,29293;33,3333;33,3333;;;;;;;
Istanza CL_10_99_05,TXT: ;0,871313;0,994545;8,74747;33,3333;33,3333;;;;;;;
Istanza CL_10_99_06,TXT: ;0,711515;1,10828;8;33,3333;33,3333;;;;;;;
Istanza CL_10_99_07,TXT: ;0,994545;0,864848;8,88889;33,3333;33,3333;;;;;;;
Istanza CL_10_99_08,TXT: ;1,10828;0,707273;9,67677;33,3333;33,3333;;;;;;;
Istanza CL_10_99_09,TXT: ;0,864848;1,00343;8,84848;33,3333;33,3333;;;;;;;
Istanza CL_10_99_10,TXT: ;0,707273;1,17273;8,34343;33,3333;33,3333;;;;;;;
