   100
  1000  1000
     1    62   157
     2   178    58
     3   160    69
     4    94    72
     5   112   151
     6    98   139
     7   134    70
     8    55   176
     9   194   143
    10   183   151
    11   157   136
    12   149    80
    13    91   167
    14   118   180
    15   112   102
    16   158   116
    17    87   157
    18    85    57
    19    83   149
    20    66    68
    21    66    95
    22   167   116
    23    53    62
    24    56    68
    25   110   166
    26   198   141
    27    54   124
    28    61   151
    29    53   153
    30    62   114
    31   172    69
    32    66    99
    33    78   188
    34   141    70
    35    88   128
    36   103   196
    37   118   156
    38   119    92
    39   136   137
    40   105   175
    41   158   139
    42   179   162
    43   100   128
    44    56   120
    45    80   121
    46   104   165
    47   113   185
    48   140   164
    49   117   135
    50   179   183
    51    58   140
    52   139   190
    53   103   115
    54   136    50
    55   169   178
    56   187   131
    57    72   194
    58    58    99
    59   128    81
    60   167   121
    61   106   105
    62    79   114
    63   120   133
    64   162   194
    65   189    81
    66    83    78
    67    78    67
    68   157   132
    69    54   107
    70   152   174
    71   134   117
    72   184    69
    73    84    64
    74   120   185
    75   172   116
    76   176   189
    77   114   187
    78   170    96
    79   126    97
    80   117   123
    81   176   160
    82    85    88
    83   129   143
    84   191   157
    85    53   164
    86   150    96
    87    64    88
    88   180   173
    89   179   134
    90    97   104
    91   165   116
    92    67   105
    93   138    52
    94   159   143
    95   114   159
    96   188    85
    97   162   103
    98   170   148
    99    96    51
   100   173   148
