    50
  1000  1000
     1    31    79
     2    89    29
     3    80    34
     4    47    36
     5    56    75
     6    49    69
     7    67    35
     8    28    88
     9    97    71
    10    92    76
    11    79    68
    12    74    40
    13    46    83
    14    59    90
    15    56    51
    16    79    58
    17    44    78
    18    42    28
    19    41    75
    20    33    34
    21    33    48
    22    84    58
    23    26    31
    24    28    34
    25    55    83
    26    99    70
    27    27    62
    28    31    75
    29    26    76
    30    31    57
    31    86    34
    32    33    49
    33    39    94
    34    70    35
    35    44    64
    36    51    98
    37    59    78
    38    59    46
    39    68    69
    40    52    88
    41    79    70
    42    89    81
    43    50    64
    44    28    60
    45    40    61
    46    52    82
    47    57    92
    48    70    82
    49    59    68
    50    89    92
