   100
   150   150
     1    24    29
     2    30    26
     3    32    30
     4    74    70
     5    67    68
     6    30    21
     7    87    96
     8    69    77
     9    74    78
    10    66    69
    11    36    31
    12    82    81
    13    89    87
    14    47    51
    15    55    50
    16    77    72
    17    24    18
    18    73    65
    19    29    21
    20    44    50
    21    55    45
    22    27    18
    23    30    28
    24    82    92
    25    68    59
    26    60    52
    27    74    64
    28    75    67
    29    54    60
    30    30    22
    31    46    40
    32    94    96
    33    31    26
    34    62    59
    35    98    97
    36    76    75
    37    42    44
    38    66    63
    39    87    91
    40    67    74
    41    80    77
    42    62    53
    43    57    51
    44    58    55
    45    81    79
    46    92    94
    47    81    80
    48    66    73
    49    91    82
    50    68    70
    51    94    91
    52    55    56
    53    20    26
    54    88    96
    55    63    56
    56    97    88
    57    46    46
    58    36    42
    59    58    55
    60    49    43
    61    54    53
    62    64    69
    63    97   105
    64    37    31
    65    35    29
    66    29    33
    67    64    54
    68    50    54
    69    86    87
    70    56    64
    71    30    25
    72    28    27
    73    92    98
    74    55    62
    75    94    93
    76    93    99
    77    44    44
    78    45    44
    79    59    66
    80    78    73
    81    40    41
    82    70    79
    83    77    67
    84    81    84
    85    45    37
    86    41    48
    87    86    93
    88    65    61
    89    49    54
    90    55    47
    91    49    51
    92    21    26
    93    69    68
    94    78    86
    95    39    44
    96    48    54
    97    72    68
    98    21    27
    99    72    67
   100    31    36
