    50
   150   150
     1    24    29
     2    30    26
     3    32    30
     4    74    70
     5    67    68
     6    30    21
     7    87    96
     8    69    77
     9    74    78
    10    66    69
    11    36    31
    12    82    81
    13    89    87
    14    47    51
    15    55    50
    16    77    72
    17    24    18
    18    73    65
    19    29    21
    20    44    50
    21    55    45
    22    27    18
    23    30    28
    24    82    92
    25    68    59
    26    60    52
    27    74    64
    28    75    67
    29    54    60
    30    30    22
    31    46    40
    32    94    96
    33    31    26
    34    62    59
    35    98    97
    36    76    75
    37    42    44
    38    66    63
    39    87    91
    40    67    74
    41    80    77
    42    62    53
    43    57    51
    44    58    55
    45    81    79
    46    92    94
    47    81    80
    48    66    73
    49    91    82
    50    68    70
