         201
         100         100
           1          35          50
           2          50          47
           3          49          47
           4          49          43
           5          39          49
           6          49          30
           7          49          43
           8          33          48
           9          48          36
          10          45          48
          11          48          30
          12          48          36
          13          48          48
          14          38          48
          15          36          48
          16          48          44
          17          48          42
          18          48          35
          19          47          34
          20          39          47
          21          44          47
          22          47          40
          23          39          47
          24          27          47
          25          47          33
          26          42          47
          27          35          47
          28          47          38
          29          32          47
          30          21          46
          31          46          40
          32          46          40
          33          43          46
          34          36          46
          35          25          46
          36          46          36
          37          45          46
          38          46          31
          39          46          39
          40          33          46
          41          32          46
          42          28          45
          43          45          28
          44          36          45
          45          44          45
          46          45          14
          47          36          45
          48          38          45
          49          30          44
          50          44          30
          51          44          22
          52          28          44
          53          19          44
          54          44          38
          55          44          39
          56          38          44
          57          37          44
          58          43          44
          59          44          28
          60          31          44
          61          29          44
          62          44          36
          63          44          21
          64          35          44
          65          43          32
          66          43          41
          67          35          43
          68          36          43
          69          30          43
          70          37          43
          71          40          43
          72          40          43
          73          36          43
          74          28          43
          75          43          36
          76          29          42
          77          42          39
          78          26          42
          79          42          42
          80          26          42
          81          26          42
          82          26          42
          83          41          28
          84          41          36
          85          31          41
          86          41          25
          87          41          28
          88          35          41
          89          41          31
          90          33          41
          91          31          40
          92          40          28
          93          40          37
          94          30          40
          95          32          40
          96          36          40
          97          26          40
          98           3          40
          99          40          29
         100          40          22
         101          39          40
         102          40          37
         103          39          26
         104          39          34
         105          34          39
         106          36          39
         107          39          34
         108          39          32
         109          38          20
         110          28          38
         111          38          36
         112          34          38
         113          38          28
         114          32          38
         115          38          38
         116          37           6
         117          37          12
         118          37          37
         119          37          34
         120          31          37
         121          28          37
         122          36          25
         123          32          36
         124          36          27
         125          34          36
         126          36          28
         127          36          36
         128          23          36
         129          29          36
         130          34          36
         131          22          36
         132          28          36
         133          35          33
         134          35          24
         135          31          34
         136          30          34
         137          34          30
         138          34          25
         139          31          34
         140          27          34
         141          34          29
         142          33          26
         143          28          33
         144          33          31
         145          33          26
         146          33          29
         147          33          30
         148          33          33
         149          33          31
         150          28          33
         151          32          25
         152          26          32
         153          32          29
         154          31          31
         155          29          31
         156          31          11
         157          31          14
         158          29          31
         159          27          31
         160          27          31
         161          30          28
         162          30           6
         163          30          28
         164          29          26
         165          29          26
         166          29          26
         167          26          29
         168          29          21
         169          21          28
         170          28          27
         171           7          28
         172          28          28
         173          28          27
         174          26          27
         175          25          27
         176          27          20
         177          27          17
         178           5          27
         179          27          11
         180          25          26
         181          17          26
         182          18          25
         183          25          21
         184          24           9
         185          24          18
         186          24          23
         187          18          23
         188          23           6
         189          23          19
         190          15          21
         191          15          20
         192          20          13
         193          20          15
         194          20          10
         195          17          19
         196           7          18
         197          15          17
         198          16           7
         199          16          15
         200          11          14
         201           5          13
