          99
         100         100
           1          35          50
           2          49          47
           3          49          43
           4          39          49
           5          49          30
           6          33          48
           7          48          36
           8          45          48
           9          48          30
          10          47          34
          11          39          47
          12          44          47
          13          47          40
          14          21          46
          15          46          40
          16          46          40
          17          43          46
          18          36          46
          19          25          46
          20          28          45
          21          45          28
          22          30          44
          23          44          30
          24          44          22
          25          28          44
          26          19          44
          27          44          38
          28          44          39
          29          38          44
          30          37          44
          31          43          41
          32          35          43
          33          36          43
          34          30          43
          35          29          42
          36          42          39
          37          26          42
          38          42          42
          39          26          42
          40          41          28
          41          40          28
          42          40          37
          43          30          40
          44          32          40
          45          36          40
          46          26          40
          47           3          40
          48          40          29
          49          39          26
          50          39          34
          51          34          39
          52          36          39
          53          39          34
          54          38          20
          55          28          38
          56          37           6
          57          37          12
          58          37          37
          59          37          34
          60          36          25
          61          32          36
          62          36          27
          63          34          36
          64          36          28
          65          36          36
          66          23          36
          67          29          36
          68          35          33
          69          35          24
          70          31          34
          71          30          34
          72          34          30
          73          33          26
          74          28          33
          75          33          31
          76          33          26
          77          33          29
          78          33          30
          79          32          25
          80          31          31
          81          30          28
          82          30           6
          83          30          28
          84          29          26
          85          29          26
          86          29          26
          87          26          27
          88          25          27
          89          27          20
          90          27          17
          91          25          26
          92          18          25
          93          18          23
          94          15          21
          95          15          20
          96          20          13
          97          20          15
          98          11          14
          99           5          13
